statement ID,time,document ID,document type,text,mp,party,concept,agreement,category
490,2010-05-07,3,EoV,Das Land hat bis heute nicht die nötige Wettbewerbsfähigkeit erreicht. Die Finanz- und Wirtschaftskrise verschärfte diese Lage.,"Bellmann, Veronika",CDU,Crisis causes_Greece_Lack of competitiveness,1,Polity
491,2010-05-07,3,EoV,Griechenland wurde zur Angriffsfläche von Spekulanten.,"Bellmann, Veronika",CDU,Crisis causes_Speculation,1,Polity
487,2010-05-07,3,EoV,Mit Griechenlands Zukunft steht die Zukunft der EU als Friedensgemeinschaft genauso auf dem Spiel wie die gemeinsame Währung.,"Bellmann, Veronika",CDU,EU_Peace,1,Polity
492,2010-05-07,3,EoV,"Mit Griechenlands Zukunft steht die Zukunft der EU als Friedensgemeinschaft genauso auf dem Spiel wie die gemeinsame Währung. Deshalb ist das Ziel die Verteidigung der Europäischen Union. Das Währungsunion-Finanzmarktstabilisierungsgesetz kann ein Weg sein, um dieses Ziel zu erreichen.","Bellmann, Veronika",CDU,Aid_EU's future,1,Policy
486,2010-05-07,3,EoV,Allerdings sind dafür die europarechtlichen Voraussetzungen sehr lückenhaft.,"Bellmann, Veronika",CDU,Aid_Lawfulness,0,Policy
493,2010-05-07,3,EoV,"Nur das offensichtliche Vorhandensein einer Regelungslücke im Primärrecht, das heißt, weil es auf unionsrechtlicher Ebene an institutionellen Regelungen für den Fall eines Staatsbankrottes fehlt, veranlasst mich dem Gesetz nach anfänglicher Ablehnung doch zuzustimmen.","Bellmann, Veronika",CDU,EMU_Sovereign insolvency procedure,1,Policy
488,2010-05-07,3,EoV,"Die der Begründung zugrunde liegende Interpretation der No-bail-out-Klausel, des Ausschlusses der gegenseitigen Beistandspflicht, des Haftungsausschlusses und der Pflicht zur Solidarität auf Unionsebene, halte ich für durchaus kritikwürdig.
","Bellmann, Veronika",CDU,Solidarity_European,0,Polity
5523,2010-05-07,3,EoV,"Die der Begründung zugrunde liegende Interpretation der No-bail-out-Klausel, des Ausschlusses der gegenseitigen Beistandspflicht, des Haftungsausschlusses und der Pflicht zur Solidarität auf Unionsebene, halte ich für durchaus kritikwürdig.
","Bellmann, Veronika",CDU,EU_No bailout clause,1,Policy
495,2010-05-07,3,EoV,"Ich bin nach wie vor davon überzeugt, dass eine größere Beteiligung der Gläubiger an der Rettung Griechenlands notwendig wäre und das eine Restrukturierung bzw. Umschuldung wenn nicht jetzt, so doch in absehbarer Zeit folgen wird.","Bellmann, Veronika",CDU,Greece_Debt restructuring,1,Policy
494,2010-05-07,3,EoV,"Ich bin nach wie vor davon überzeugt, dass eine größere Beteiligung der Gläubiger an der Rettung Griechenlands notwendig wäre und das eine Restrukturierung bzw. Umschuldung wenn nicht jetzt, so doch in absehbarer Zeit folgen wird.
","Bellmann, Veronika",CDU,Aid_Private sector involvement,1,Policy
511,2010-05-07,3,EoV,"Zu den Gläubigern Griechenlands zählen ausländische Banken mit einem Anteil von 302 Milliarden Dollar. Davon französische Institute 75,5 Milliarden Dollar, Schweiz 64 Milliarden Dollar und Deutschland 43,2 Milliarden Dollar. Bei einem Staatsbankrott müssten schätzungsweise 30 bis 40 Prozent der Forderungen abgeschrieben werden. Das würde das Eigenkapital belasten. Die deutschen Banken könnten beim staatlichen Finanzmarktstabilisierungsfond, SoFFin, Eigenkapitalhilfen beantragen. Die Bundesregierung würde dadurch Miteigentümerin der Banken und könnte zum Beispiel Bonuszahlungen beeinflussen, was diese Institute mit aller Macht vermeiden wollen. Eine staatliche Rettung Griechenlands erspart zwar den Banken den Gang zum SoFFin, sozialisiert aber die Verluste.","Bellmann, Veronika",CDU,Aid_Private creditors,0,Policy
512,2010-05-07,3,EoV,"Der deutsche Steuerzahler bürgt damit bzw. reicht Kredite aus, für die wir uns verschulden müssen, nicht nur für die Misswirtschaft in Griechenland und die nachlässige Kontrolle des Stabilitätspaktes der EU, sondern auch wiederum für riskante Geschäfte und Spekulationen des Finanzmarktsektors.","Bellmann, Veronika",CDU,Crisis causes_Greece_Mismanagement,1,Policy
513,2010-05-07,3,EoV,"Der deutsche Steuerzahler bürgt damit bzw. reicht Kredite aus, für die wir uns verschulden müssen, nicht nur für die Misswirtschaft in Griechenland und die nachlässige Kontrolle des Stabilitätspaktes der EU, sondern auch wiederum für riskante Geschäfte und Spekulationen des Finanzmarktsektors.","Bellmann, Veronika",CDU,Crisis causes_EU_SGP,1,Polity
5525,2010-05-07,3,EoV,"Der deutsche Steuerzahler bürgt damit bzw. reicht Kredite aus, für die wir uns verschulden müssen, nicht nur für die Misswirtschaft in Griechenland und die nachlässige Kontrolle des Stabilitätspaktes der EU, sondern auch wiederum für riskante Geschäfte und Spekulationen des Finanzmarktsektors. Zahlen die Griechen Kredite nicht zurück, muss die Bundesrepublik die Verluste übernehmen. Das wiederum würde die Bonität Deutschlands belasten und höhere Zinsen nach sich ziehen. Insofern bestünde eine gewisse “Nachschusspflicht”, für die der deutsche Steuerzahler zurecht befürchtet, immer wieder in Haftung genommen zu werden.","Bellmann, Veronika",CDU,Aid_Guaranty,1,Policy
5526,2010-05-07,3,EoV,"Zahlen die Griechen Kredite nicht zurück, muss die Bundesrepublik die Verluste übernehmen. Das wiederum würde die Bonität Deutschlands belasten und höhere Zinsen nach sich ziehen. Insofern bestünde eine gewisse “Nachschusspflicht”, für die der deutsche Steuerzahler zurecht befürchtet, immer wieder in Haftung genommen zu werden.","Bellmann, Veronika",CDU,Aid_Risk,1,Policy
509,2010-05-07,3,EoV,"Denn Griechenlands Wirtschaft muss wachsen, was eine mehrjährige Prozedur mit niedrigen Löhnen und steigernder Produktivität erfordert.","Bellmann, Veronika",CDU,Greece_Wage cuts,1,Policy
510,2010-05-07,3,EoV,"Denn Griechenlands Wirtschaft muss wachsen, was eine mehrjährige Prozedur mit niedrigen Löhnen und steigernder Produktivität erfordert.","Bellmann, Veronika",CDU,Crisis solution_Competitiveness,1,Polity
515,2010-05-07,3,EoV,"Ob der IWF und die Euro-Länder dauerhaft die Härte aufbringen, gegen die griechische Bevölkerung die notwendigen Reformen zu erzwingen, ist ebenfalls fraglich.","Bellmann, Veronika",CDU,Greece_Political will,0,Politics
5527,2010-05-07,3,EoV,"Es steigt die Gefahr, dass andere Länder dem Beispiel Griechenlands folgen und möglicherweise auch nicht den notwendigen Änderungen der europäischen Verträge zustimmen.","Bellmann, Veronika",CDU,Aid_Wrong incentives,1,Policy
497,2010-05-07,3,EoV,"Die Währungsunion droht so zu einer Schulden- und Transferunion zu verkommen, die die Kraft der leistungsstarken Länder aushöhlt.","Bellmann, Veronika",CDU,EU_Transfer union,0,Polity
517,2010-05-07,3,EoV,"Der politische Druck in den Ländern mit Stabilitätstradition, die Währungsunion zu verlassen, wird wachsen.","Bellmann, Veronika",CDU,EU_Unity,0,Polity
3,2010-05-07,3,EoV,"Wenn behauptet wird, die Rettungsaktion Griechenlands auch durch oben benanntes Gesetz sei für die Existenz der Währung als fundamentale Grundlage eines Staatswesens momentan alternativlos, so müssen dennoch die beschriebenen Szenarien deutlich benannt werden.
","Bellmann, Veronika",CDU,Alternatives,1,Politics
518,2010-05-07,3,EoV,"Versetzung der zuständigen europäischen Institutionen in die Lage, wirksame Maßnahmen ergreifen zu können, die für eine effektivere Überwachung der Haushalts- und Finanzpolitiken der Mitgliedstaaten sorgen, Einrichtung eines effektiven Frühwarnmechanismus, der im Fall drohender Überschuldung von Staaten eine Warnung auslöst","Bellmann, Veronika",CDU,EU_Monitoring,1,Policy
519,2010-05-07,3,EoV,"Stärkung des Stabilitäts- und Wachstumspaktes in seiner Funktion, Beschleunigung des Defizitverfahrens, damit Sanktionen zu einem früheren Zeitpunkt verhängt werden, Hürden für politische Einflussnahme gegen zu verhängende Sanktionen möglichst hoch legen, Modifizierung des Stabilitäts- und Wachstumspaktes, so dass deutlich spürbarere Sanktionen verhängt werden können","Bellmann, Veronika",CDU,EU_SGP_Sanctions,1,Policy
521,2010-05-07,3,EoV,Durchführung eines ausreichend langen Monitoringverfahrens bei zukünftigen Beitrittsanträgen zur Währungsunion,"Bellmann, Veronika",CDU,EMU_Entry criteria,1,Policy
498,2010-05-07,3,EoV,"Schaffung einer unabhängigen europäischen Ratingagentur und Verbesserung der Regulierung für diese, damit mögliche Marktmanipulationen durch die Finanzaufsicht streng kontrolliert werden können","Bellmann, Veronika",CDU,Financial regulation_European rating agency,1,Policy
522,2010-05-07,3,EoV,"Schaffung einer unabhängigen europäischen Ratingagentur und Verbesserung der Regulierung für diese, damit mögliche Marktmanipulationen durch die Finanzaufsicht streng kontrolliert werden können","Bellmann, Veronika",CDU,Financial regulation_Rating agencies,1,Policy
516,2010-05-07,3,EoV,"Änderungen, damit zukünftig kein Finanzmarkt, kein Finanzmarktakteur und kein Finanzmarktprodukt ohne Regulierung, Aufsicht und Haftung bleibt","Bellmann, Veronika",CDU,Financial regulation_Liability,1,Policy
499,2010-05-07,3,EoV,Verbot von ungedeckten Leerverkäufen,"Bellmann, Veronika",CDU,Financial regulation_Short selling,1,Policy
500,2010-05-07,3,EoV,"zukünftige Regulierung aller Finanzprodukte und aller Finanzmarktteilnehmer, zum Beispiel Hedgefonds","Bellmann, Veronika",CDU,Financial regulation_Hedge funds,1,Policy
501,2010-05-07,3,EoV,"umgehendes Verbot für den Kauf von Kreditausfallversicherungen, CDS, die nicht zur Absicherung eigener oder mandatierter Risiken dienen","Bellmann, Veronika",CDU,Financial regulation_CDS,1,Policy
524,2010-05-07,3,EoV,Zusätzlich fordere ich eine Differenzierung des Bankensektors weg von den sogenannten Universalbanken hin zu einer Trennung des klassischen Bankengeschäfts vom risikoreichen Investmentbanking.,"Bellmann, Veronika",CDU,Financial regulation_Universal banking,1,Policy
505,2010-05-07,3,EoV,"Eine Bankenabgabe und eine Finanzmarkttransaktionssteuer für die risikoreichen Investmentbankgeschäfte zu erheben, halte ich für dringend notwendig.","Bellmann, Veronika",CDU,Financial regulation_Bank levy,1,Policy
506,2010-05-07,3,EoV,"Eine Bankenabgabe und eine Finanzmarkttransaktionssteuer für die risikoreichen Investmentbankgeschäfte zu erheben, halte ich für dringend notwendig.","Bellmann, Veronika",CDU,Financial regulation_Tax,1,Policy
959,2010-05-07,3,EoV,"Vielleicht ist die Rettungsperspektive durch das Währungsunions-Finanzstabilisierungsgesetz die beste unter den schlechtesten Lösungen. Ich hoffe, dass wir die dadurch “gekaufte Zeit” als Chance begreifen","Bellmann, Veronika",CDU,Aid_Time gain,1,Policy
508,2010-05-07,3,EoV,"Ich hoffe, dass wir die dadurch “gekaufte Zeit” als Chance begreifen, notwendige Reformen auf EU-Ebene durchzusetzen und endlich strengere Regelungen für den Finanzmarktsektor einzuführen","Bellmann, Veronika",CDU,Financial regulation_EU-level,1,Policy
523,2010-05-07,4,EoV,"Diese Erklärung entsteht wenige Minuten nach den Äußerungen des FDP-Vorsitzenden Westerwelle am 6. Mai 2010 in den ARD-Spätnachrichten. Ich war zutiefst erschrocken, mit welcher Kaltschnäuzigkeit sich Westerwelle gegen unseren Staat stellt.

Auf die Frage, warum sich die FDP-Bundestagsfraktion selbst der vorsichtigen Forderung der SPD-Bundestagsfraktion nach einer “Prüfung der Finanztransaktionsteuer” im Zusammenhang mit der Unterstützung Griechenlands verweigert habe, kam die scheinheilige Antwort, die Finanztransaktionsteuer belaste die kleinen Sparer, die Riester-Sparer etc., und das wolle die FDP natürlich nicht zulassen. Kein Wort zu den Händlern am Finanzmarkt, die mehrere Tausend Geschäfte am Tag abwickeln, Kurse hinauf- und hinunter treiben, gegen Staaten und Währungen wetten und spekulieren und so die Ersparnisse des Kleinsparers bzw. der Kleinsparerin entweder direkt oder über eine steuerliche Beteiligung zur Überwindung der so erzeugten Krisen indirekt vernichten. Die Antwort folgte dem Motto: “Ich fürchte, der Kompromiss wird scheitern – und wenn ich selber dafür Sorge tragen muss.”","Binding, Lothar",SPD,Party politics_FDP,0,Politics
529,2010-05-07,4,EoV,"Auf die Frage, warum sich die FDP-Bundestagsfraktion selbst der vorsichtigen Forderung der SPD-Bundestagsfraktion nach einer “Prüfung der Finanztransaktionsteuer” im Zusammenhang mit der Unterstützung Griechenlands verweigert habe, kam die scheinheilige Antwort, die Finanztransaktionsteuer belaste die kleinen Sparer, die Riester-Sparer etc., und das wolle die FDP natürlich nicht zulassen. Kein Wort zu den Händlern am Finanzmarkt, die mehrere Tausend Geschäfte am Tag abwickeln, Kurse hinauf- und hinunter treiben, gegen Staaten und Währungen wetten und spekulieren und so die Ersparnisse des Kleinsparers bzw. der Kleinsparerin entweder direkt oder über eine steuerliche Beteiligung zur Überwindung der so erzeugten Krisen indirekt vernichten.","Binding, Lothar",SPD,Financial regulation_Tax,1,Policy
528,2010-05-07,4,EoV,"Auf die Frage nach den dramatischen Ergebnissen der Steuerschätzung – bis zum Jahr 2014 werden gesamtstaatlich über 50 Milliarden Euro weniger Steuereinnahmen erwartet als bisher geplant – der magere, eindimensionale Hinweis, der Staat nehme doch mehr ein als in der Vergangenheit und deshalb könnten die Steuern auf der Grundlage der Koalitionsvereinbarung gesenkt werden. Selbst der Hinweis der Moderatorin auf die Schuldenbremse und die riesige neue Staatverschuldung im schwarz-gelben Haushalt im Jahr 2010 konnte die vier Grundrechenarten bei Westerwelle nicht aktivieren.

Nach den Steuergeschenken an Hotels in Höhe von etwa 1 Milliarde Euro und Steuererleichterungen für Konzerne und reiche Erben sind dies zwei weitere Belege dafür, wie zielstrebig die FDP unseren Staat ruiniert und die CDU/CSU unfähig ist, diesen Prozess zu stoppen.","Binding, Lothar",SPD,Germany_Tax cuts,0,Policy
530,2010-05-07,4,EoV,Selbst der Hinweis der Moderatorin auf die Schuldenbremse und die riesige neue Staatverschuldung im schwarz-gelben Haushalt im Jahr 2010 konnte die vier Grundrechenarten bei Westerwelle nicht aktivieren.,"Binding, Lothar",SPD,Fiscal consolidation_Germany,1,Policy
5528,2010-05-07,4,EoV,"die CDU/CSU unfähig ist, diesen Prozess zu stoppen","Binding, Lothar",SPD,Party politics_CDU,0,Politics
5529,2010-05-07,4,EoV,"die CDU/CSU unfähig ist, diesen Prozess zu stoppen","Binding, Lothar",SPD,Party politics_CSU,0,Politics
525,2010-05-07,4,EoV,"So erklärt sich auch die heutige Abstimmungssituation zur Hilfe für Griechenland im Bundestag, in die uns eine zerstrittene CDU/CSU/FDP unter einer zögerlichen Kanzlerin gebracht hat.","Binding, Lothar",SPD,Leadership_Chancellor,0,Politics
526,2010-05-07,4,EoV,"So erklärt sich auch die heutige Abstimmungssituation zur Hilfe für Griechenland im Bundestag, in die uns eine zerstrittene CDU/CSU/FDP unter einer zögerlichen Kanzlerin gebracht hat.","Binding, Lothar",SPD,Unity_Government,0,Politics
531,2010-05-07,4,EoV,"Nachdem der mögliche Kompromiss mit der SPD-Fraktion, der neben der Hilfe für Griechenland auch die Verursacher der Finanzkrisen in der Welt und die Verstärker der Finanzkrise in Griechenland in die Verantwortung nehmen wollte","Binding, Lothar",SPD,Aid_Private sector involvement,1,Policy
532,2010-05-07,4,EoV,der Kompromissunfähigkeit der schwarz-gelben Koalition absichtsvoll zum Opfer gefallen ist,"Binding, Lothar",SPD,Consensus seeking_Government,0,Politics
534,2010-05-07,4,EoV,"Es bleibt die Aufgabe, den nicht zu beziffernden finanziellen Schaden für Deutschland zu beheben, der durch das Zögern und den Zickzackkurs von Kanzlerin Merkel und des Finanzministers Schäuble durch voreilige und falsche Äußerungen über die deutsche Hilfsbereitschaft entstanden ist.","Binding, Lothar",SPD,Crisis management_Aggravation_Government,1,Politics
539,2010-05-07,4,EoV,Außerdem enthält das Gesetz unkalkulierbare Risiken durch den Zinsausgleichsmechanismus.,"Binding, Lothar",SPD,Aid_Risk,1,Policy
540,2010-05-07,4,EoV,"Nachdem die SPD-Fraktion mit Blick auf die “plötzlich” besonders schwierige und eilige internationale Aufgabe auf “Fristeinrede” verzichtet und damit der schwarz-gelben Koalition ein verkürztes Gesetzgebungsverfahren ermöglicht hat, führt diese Großzügigkeit bzw. unser Kooperationsverständnis nun dazu, dass die SPD-Fraktion aus Fristgründen heute keinen eigenen Gesetzentwurf einbringen kann. So viel zur Fairness.","Binding, Lothar",SPD,Bundestag_Procedure,0,Politics
541,2010-05-07,4,EoV,"Wenn wir den einfachen Weg gingen, Hilfe für Griechenland ablehnten und alles in Europa und Deutschland ohne Probleme weiter ginge wie gewohnt, wäre unsere harte Haltung anscheinend eine gute Lösung. Das haben Kanzlerin Merkel und “Bild”-Zeitung immerhin eine ganze Weile öffentlich propagiert.","Binding, Lothar",SPD,Crisis management_Persistence_Government,0,Politics
535,2010-05-07,4,EoV,"Damit würde Griechenland aus der Euro-Zone gedrängt. Rückkehr zur Drachme – das klingt doch verlockend. Griechenland könnte über eine Abwertung seiner Währung die Preise der eigenen Produkte senken und deren Absatzchancen verbessern, die heimische Wirtschaft könnte sich langsam erholen, die Griechen würden wieder mehr eigene Produkte kaufen, man könnte kleine Pflänzchen in der Industrielandschaft pflegen, den Export stärken etc., etc.","Binding, Lothar",SPD,Alternatives_Grexit,0,Politics
536,2010-05-07,4,EoV,"Für Deutschland wäre das natürlich eine schlechte Lösung, denn wir leben sehr stark vom Export nach Europa, auch in den Süden. Und wenn wir glaubten, diese Therapie sei gut für Griechenland, dann würde dies ja auch für andere Länder gelten, und unser EU-Handel käme unter starken Druck – zum Nachteil der anderen Länder und zum Nachteil Deutschlands. Die deutsche Wirtschaft profitiert also von einer stabilen Nachfrage aus Griechenland, aus ganz Südeuropa.","Binding, Lothar",SPD,Germany_National interest_Exports,1,Polity
5530,2010-05-07,4,EoV,"Die deutsche Wirtschaft profitiert also von einer stabilen Nachfrage aus Griechenland, aus ganz Südeuropa.","Binding, Lothar",SPD,Greece_Import-led,1,Polity
537,2010-05-07,4,EoV,"Oft lese ich zwar: Es müssten in Griechenland Investitionsanreize geschaffen werden, statt den Konsum zu reduzieren. Die derzeitige Entwicklung, vorangetrieben von den Verhandlungen – eigentlich: dem Spardiktat – des Internationalen Währungsfond, IWF, der Europäischen Zentralbank, EZB, und der EU-Kommission mit Griechenland, weist allerdings in eine andere gefährliche Richtung: Die Löhne in Griechenland geraten unter Druck, Stellen im öffentlichen Dienst sollen abgebaut werden – müssen sie auch, aber mit Blick auf die Konsequenzen –, Renten sollen sinken, die Mehrwertsteuer wird angehoben, den öffentlichen Haushalten wird die Luft abgeschnürt, und das 13. und 14. Monatsgehalt soll abgeschafft werden. All das dämpft die Binnennachfrage in Griechenland und unseren Export.
","Binding, Lothar",SPD,Fiscal consolidation_Domestic demand,0,Policy
538,2010-05-07,4,EoV,"Die derzeitige Entwicklung, vorangetrieben von den Verhandlungen – eigentlich: dem Spardiktat – des Internationalen Währungsfond, IWF, der Europäischen Zentralbank, EZB, und der EU-Kommission mit Griechenland, weist allerdings in eine andere gefährliche Richtung: Die Löhne in Griechenland geraten unter Druck, Stellen im öffentlichen Dienst sollen abgebaut werden – müssen sie auch, aber mit Blick auf die Konsequenzen –, Renten sollen sinken, die Mehrwertsteuer wird angehoben, den öffentlichen Haushalten wird die Luft abgeschnürt, und das 13. und 14. Monatsgehalt soll abgeschafft werden. All das dämpft die Binnennachfrage in Griechenland und unseren Export.

Außerdem frage ich mich, welche Regierung eine solche von Europa und dem IWF verordnete Rosskur überhaupt überleben kann.","Binding, Lothar",SPD,Austerity_Greece,0,Policy
5531,2010-05-07,4,EoV,"vorangetrieben von den Verhandlungen – eigentlich: dem Spardiktat – des Internationalen Währungsfond, IWF, der Europäischen Zentralbank, EZB, und der EU-Kommission mit Griechenland","Binding, Lothar",SPD,Crisis management_Troika,0,Politics
5532,2010-05-07,4,EoV,Die Löhne in Griechenland geraten unter Druck,"Binding, Lothar",SPD,Greece_Wage cuts,0,Policy
5533,2010-05-07,4,EoV,Stellen im öffentlichen Dienst sollen abgebaut werden – müssen sie auch,"Binding, Lothar",SPD,Greece_Public sector_Job cuts,1,Policy
5534,2010-05-07,4,EoV,Renten sollen sinken,"Binding, Lothar",SPD,Greece_Pension cuts,0,Policy
5535,2010-05-07,4,EoV,die Mehrwertsteuer wird angehoben,"Binding, Lothar",SPD,Greece_Tax increase_VAT,0,Policy
542,2010-05-07,4,EoV,Die Regierung in Griechenland hatte ein strukturelles und finanzielles Desaster von der Vorgängerregierung übernommen,"Binding, Lothar",SPD,Crisis causes_Greece_Mismanagement,1,Policy
543,2010-05-07,4,EoV,und nun geriet Griechenland durch Aktivitäten am Weltfinanzplatz zusätzlich in existenzielle Probleme,"Binding, Lothar",SPD,Crisis causes_Speculation,1,Polity
544,2010-05-07,4,EoV,"Deshalb betrachte ich die gegenwärtige Entwicklung auch mit Sorge um die politische Stabilität im Land, um den sozialen Frieden und die wirtschaftliche Lage.","Binding, Lothar",SPD,Greece_Stability,0,Polity
546,2010-05-07,4,EoV,"In einer solchen Lage sind Proteste der Betroffenen verständlich. Die Demonstranten wollen erreichen, dass das so geschnürte Paket von Maßnahmen neu gepackt werden soll.","Binding, Lothar",SPD,Greece_Political protest,1,Politics
5536,2010-05-07,4,EoV,"Denn in einer fast industriefreien Landschaft mit monostruktureller Konzentration auf den Tourismus wird das mit den Investitionsanreizen kurzfristig schwierig – wäre aber notwendig und möglich, wenn man die Einnahmeseite des griechischen Haushalts in den Blick nimmt","Binding, Lothar",SPD,Fiscal policy_Investment_Private,1,Policy
545,2010-05-07,4,EoV,"Menschen mit großem Einkommen und Vermögen, die Oberschicht, Selbstständige zahlen praktisch keine Steuern. Während der Staat extreme Liquiditäts- und Zahlungsprobleme hat, gibt es gleichzeitig privaten Reichtum. Eine vernünftige Besteuerung von hohen Einkommen, Vermögen oder Erbschaften wäre sicher angemessen und würde die Lasten gerechter auf viele Schultern verteilen.","Binding, Lothar",SPD,Greece_Tax increase_Wealth,1,Policy
550,2010-05-07,4,EoV,"Wir sehen uns in Deutschland mit Blick auf die sinkenden Reallöhne und die steigenden Erträge aus Vermögen ähnlichen Verteilungsproblemen gegenüber. Ich hoffe auf eine Lösung dieser Probleme in Griechenland durch Einbeziehung aller Griechen, auch der Wohlhabenden.","Binding, Lothar",SPD,Fiscal policy_Redistribution,1,Policy
548,2010-05-07,4,EoV,"Hier geht es aber um mehr als um eine reine Geldfrage. Es geht auch um die europäische Einigung, um wirtschaftliche Entwicklung, um unsere gemeinsame Währung und um Unterstützung, Solidarität mit anderen und soziale Gerechtigkeit. Es geht um Europas Zukunft und die Zukunft seiner Währung.","Binding, Lothar",SPD,Aid_EU's future,1,Policy
549,2010-05-07,4,EoV,"Es geht auch um die europäische Einigung, um wirtschaftliche Entwicklung, um unsere gemeinsame Währung und um Unterstützung, Solidarität mit anderen und soziale Gerechtigkeit.","Binding, Lothar",SPD,Aid_Solidarity,1,Policy
560,2010-05-07,4,EoV,"Peer Steinbrück und Frank-Walter Steinmeier haben diese sozialdemokratischen Wertvorstellungen in einem Beitrag für den Spiegel vom 4. Mai 2010 unterstrichen – leider sind viele in der Regierung offensichtlich nicht bereit, unser europäisches Wirtschafts- und Sozialmodell gegen die unregulierten Finanzmärkte, gegen Spekulanten und High Frequently Trader zu verteidigen.
","Binding, Lothar",SPD,Financial regulation_EMU protection,1,Policy
561,2010-05-07,4,EoV,"Peer Steinbrück und Frank-Walter Steinmeier haben diese sozialdemokratischen Wertvorstellungen in einem Beitrag für den Spiegel vom 4. Mai 2010 unterstrichen – leider sind viele in der Regierung offensichtlich nicht bereit, unser europäisches Wirtschafts- und Sozialmodell gegen die unregulierten Finanzmärkte, gegen Spekulanten und High Frequently Trader zu verteidigen.
","Binding, Lothar",SPD,Financial regulation_Fight speculation,1,Policy
552,2010-05-07,4,EoV,Ich fühle mich durch die Politik des Versagens der Kanzlerin erpresst.,"Binding, Lothar",SPD,Crisis management_Chancellor,0,Politics
554,2010-05-07,4,EoV,"Aber schließlich drängt ja auch die Zeit – kein Wunder, nachdem die Kanzlerin und ihr Finanzminister die Krise erst mal wieder aussitzen wollten, dann auf das Verstreichen der Landtagswahl in Nordrhein-Westfalen hofften, schließlich den Karren mit großer Entschlossenheit und Ausdauer in völlig unterschiedliche Richtungen gezogen haben, um dem Parlament dann quasi in letzter Minute einen Gesetzentwurf vorzulegen, der die eigentlichen Fragen nicht beantwortet.","Binding, Lothar",SPD,Crisis management_Delay_Government,1,Politics
